stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
KKR,6/30/2019,616760000,,25685785000,1299315000,9300557000,47997035000,4855273000,931515000,-40274000,286728000,2902238000,2143057000,3647875000,-40274000,83500000,514531000,1172754000,1176655000,8426000,57524065000,380011000,13978000,9392924000,29242002000,8252018000,,,,18406585000
BKYI,3/31/2020,616985,397711,,250963,-1627017,,1990004,596067,,,4076746,661937,217211,,,,-93205984,,1839,3019278,413345,208499,-1411021,4430299,91793124,215996,,,
BKYI,12/31/2019,919294,429119,,236941,-2513361,,1366291,661988,,,4391405,79013,240231,,,,-89723016,,1441,2496698,359212,231519,-2285173,4781871,87436402,228188,,,
BKYI,9/30/2019,496667,971167,,824036,1025103,,3694480,729527,,,3235694,78240,263669,,,,-80193134,,1440,10781843,222721,254957,7119270,3662573,87310964,6094167,,,
BKYI,6/30/2019,864879,1011703,,828468,1689628,,3814191,670215,,,2698748,687023,286998,,,,-78363567,,1429,11155835,436884,278286,8074059,3081776,86436197,6384431,,,
RGS,12/31/2019,55587000,68413000,60000000,27756000,-26117000,,178410000,980865000,9480000,,271448000,49783000,38144000,9480000,293019000,95979000,242573000,32458000,1778000,1498597000,,,275061000,1223536000,21230000,8159000,,,
RGS,9/30/2019,53219000,74634000,90000000,28724000,-37928000,,194454000,1002226000,8939000,,276867000,58902000,38370000,8939000,313251000,96258000,252143000,32194000,1777000,1556717000,,,283739000,1272978000,20880000,8416000,,,
RGS,6/30/2019,47532000,77322000,90000000,30143000,-30234000,,210822000,78090000,9342000,,128283000,70141000,39446000,9342000,345718000,111399000,265908000,23689000,1843000,682837000,,,324245000,358592000,47152000,8761000,,,
RGS,3/31/2019,57021000,90869000,90000000,33737000,-12096000,,228138000,83629000,9050000,,140511000,71146000,39297000,9050000,378560000,115144000,271273000,32386000,1972000,738970000,,,375810000,363160000,93515000,9346000,,,
VBFC,3/31/2020,468843000,526000,50368000,,44162000,39081000,69543000,12844000,438000,,470567000,47978000,448737000,438000,,4490000,-16394000,20311000,5779000,570205000,,,44162000,526043000,54339000,,,,
