stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
IVC,3/31/2020,90614000,119285000,165026000,142446000,-94616000,86000,376663000,88897000,-1377000,1057000,296582000,98932000,4260000,-106478000,372911000,67829000,87550000,3132000,9817000,869034000,23496000,552000,304512000,564522000,313623000,26217000,,,
IVC,12/31/2019,88003000,121184000,219464000,140013000,-91334000,85000,355877000,92183000,3128000,928000,218657000,80063000,4131000,-101199000,373403000,66949000,87475000,2851000,9590000,852126000,21634000,602000,308516000,543610000,312650000,26447000,,,
IVC,9/30/2019,89736000,123069000,222281000,132920000,-80939000,86000,356777000,90818000,210000,701000,202199000,85040000,3306000,-104083000,371694000,67443000,106569000,4471000,9590000,847405000,21193000,112000,315479000,531926000,303403000,24724000,,,
IVC,6/30/2019,86051000,124686000,233435000,139827000,-71186000,86000,367977000,92825000,9771000,580000,193854000,89511000,3583000,-94522000,377551000,67211000,115025000,3972000,9590000,867583000,20666000,208000,331926000,535657000,301833000,25561000,,,
CSLT,3/31/2020,13299000,,930000,38073000,67507000,,87019000,19157000,13000,,47209000,37681000,21917000,13000,41485000,1829000,-511377000,,15000,180682000,13730000,18873000,120096000,60586000,631445000,11104000,6009000,1859000,
CSLT,12/31/2019,19596000,,1395000,31397000,68911000,,95470000,18762000,2000,,54907000,43017000,24589000,2000,91785000,1785000,-455042000,,15000,242784000,18768000,21429000,172874000,69910000,627899000,12178000,16411000,1859000,
CSLT,9/30/2019,11989000,,1860000,35442000,75261000,,95971000,16669000,7000,,52111000,36040000,29115000,7000,91785000,1949000,-443296000,,15000,246793000,17509000,25671000,180299000,66494000,623573000,13253000,19977000,1859000,
CSLT,6/30/2019,11355000,,2324000,32611000,80268000,,101987000,18247000,7000,,54303000,50052000,30597000,7000,91785000,1904000,-433960000,,14000,257073000,20698000,27049000,186510000,70563000,620449000,14457000,13874000,1859000,
LPX,3/31/2020,208000000,284000000,697000000,172000000,931000000,12000000,976000000,1029000000,-175000000,,214000000,488000000,62000000,-577000000,30000000,192000000,983000000,,130000000,2132000000,4000000,,984000000,1138000000,448000000,23000000,,,10000000
LPX,12/31/2019,112000000,265000000,347000000,164000000,941000000,10000000,619000000,1072000000,-153000000,,244000000,181000000,84000000,-559000000,30000000,206000000,966000000,,130000000,1835000000,17000000,,991000000,834000000,454000000,20000000,,,10000000
LPX,9/30/2019,202000000,260000000,347000000,183000000,1159000000,10000000,761000000,1136000000,-152000000,,216000000,304000000,82000000,-560000000,30000000,221000000,1185000000,,135000000,2043000000,2000000,,1213000000,818000000,453000000,24000000,,,12000000
LPX,6/30/2019,213000000,293000000,347000000,177000000,1227000000,9000000,829000000,1115000000,-142000000,,229000000,348000000,86000000,-552000000,30000000,208000000,1315000000,,141000000,2090000000,5000000,,1278000000,799000000,374000000,21000000,,,13000000
GDYN,3/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,3/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,12/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARA,3/31/2020,57253000,7574000,573225000,120202000,-649479000,,252683000,286750000,-4104000,,203079000,62379000,21725000,-4104000,538609000,10911000,-185475000,49197000,199000,1124046000,49804000,,-86591000,922559000,102789000,24279000,,39845000,288078000
ARA,12/31/2019,49539000,7752000,542170000,114685000,-642545000,,220014000,285074000,-2150000,,190935000,34494000,18608000,-2150000,538609000,11482000,-178241000,50099000,197000,1086791000,42577000,,-79450000,875769000,100744000,24486000,,39172000,290472000
ARA,9/30/2019,58054000,7997000,546727000,117809000,-676539000,,212435000,295666000,-2299000,,211262000,60190000,9067000,-2299000,576082000,15265000,-178331000,13292000,197000,1117945000,51914000,,-75762000,908850000,104671000,24695000,,41054000,284857000
ARA,6/30/2019,57648000,7249000,561929000,121684000,-684631000,,230079000,298625000,-1853000,,222613000,69060000,15570000,-1853000,578237000,16336000,-183108000,15539000,197000,1147423000,63466000,,-81482000,934174000,103282000,24912000,,44048000,294731000
MBOT,3/31/2020,204000,,,,29678000,,30103000,1195000,,,927000,29585000,,,,,-37316000,76000,71000,31298000,,,29678000,1620000,66923000,,,,
MBOT,12/31/2019,284000,,,,31540000,,35936000,1190000,,,4826000,28771000,,,,,-35111000,4358000,72000,37126000,,,31540000,5586000,69954000,,,,
MBOT,9/30/2019,282000,,,,6403000,,10487000,636000,,,4589000,3548000,,,,,-33241000,4250000,43000,11123000,,,6403000,4720000,42976000,,,,
MBOT,6/30/2019,179000,,,,7981000,,11849000,726000,,,4406000,4879000,,,,,-31367000,4250000,43000,12575000,,,7981000,4594000,42680000,,,,
AZRX,3/31/2020,1322137,,,760232,-2078080,,2897436,126946,-1109061,,5143189,1630007,40727,-1109061,1844006,,-67956022,,2716,8184312,386925,,3041123,5143189,72103490,3275197,,,
AZRX,12/31/2019,1820080,,,2637303,-676526,,3408286,159777,-1266555,,4285636,175796,41047,-1266555,1886686,,-62694732,,2680,8902880,392989,,4617244,4285636,68575851,3407084,,,
AZRX,9/30/2019,2313508,,,2090233,-2170112,,3729814,285354,-1357146,,5819486,1549825,48669,-1357146,1832915,,-61413109,,2615,9435723,436320,,3201774,6233949,65969414,3538971,,,
AZRX,6/30/2019,2271144,,,2119700,-2636496,,3628632,349901,-1218905,,6221272,1310687,49275,-1218905,1913740,,-57220637,,2110,9612406,455560,,2948102,6664304,61385534,3670858,,,
XXII,3/31/2020,1446000,2448000,292000,1132000,49797000,8096000,38495000,3701000,-186000,,5035000,719000,,-186000,,,-129721000,,1000,64464000,71000,,58309000,6155000,188215000,8512000,33274000,587000,
XXII,12/31/2019,1997820,2266304,292177,866860,53556909,8402527,42743498,3721949,7074,,5780380,485111,,7074,,,-125693027,,1384,68951365,4850,,62050822,6900543,187735391,8493913,38477074,580709,
XXII,9/30/2019,1646780,2384130,589359,773968,46774293,1682048,47749964,3896537,114322,,5027328,617783,,114322,,,-119494595,,1258,61864260,594339,,55310004,6554256,174689019,8535711,43101178,576736,
XXII,6/30/2019,2220853,2931655,559485,910686,52557089,4641946,52086071,4063204,201779,,7181166,874427,,201779,,,-109248878,,1247,70546185,90040,,62312053,8234132,171357905,9754964,46095682,598431,
ABTX,3/31/2020,3953574000,12617000,298436000,,462065000,521048000,204709000,66798000,7486000,,3957395000,174889000,3965346000,7486000,223642000,40005000,164858000,17203000,20355000,5002429000,,,706593000,4295836000,513894000,20886000,,,
ABTX,12/31/2019,4068101000,8337000,183302000,,464347000,378787000,370053000,66790000,4900000,,4075294000,346248000,3931506000,4900000,223642000,15583000,163375000,15468000,20524000,4992654000,,,709865000,4282789000,521066000,21876000,,,
ABTX,9/30/2019,3897485000,8333000,267272000,,459613000,367138000,324153000,67175000,6494000,,3902400000,300619000,3900679000,6494000,223642000,17744000,149389000,15201000,20737000,4905840000,,,706308000,4199532000,529688000,23053000,,,
ABTX,6/30/2019,3860640000,6294000,196017000,,456828000,357039000,255409000,59690000,4233000,,3864171000,232607000,3874200000,4233000,223642000,14230000,137342000,16508000,21147000,4794211000,,,704701000,4089510000,541979000,24231000,,,
NATH,12/29/2019,4434000,599000,145968000,10436000,-65561000,,89392000,13639000,,52000,11631000,77395000,507000,-79288000,95000,2837000,-47076000,744000,94000,104930000,604000,,-64169000,169099000,62101000,1297000,,,
NATH,9/29/2019,4914000,615000,145795000,12170000,-64367000,,92851000,11970000,,359000,13973000,79471000,819000,-78303000,95000,2988000,-46810000,501000,94000,107060000,999000,,-62947000,170007000,62072000,1325000,,,
NATH,6/30/2019,5806000,748000,145622000,14974000,-66596000,,90398000,12339000,,351000,13854000,73903000,816000,-78303000,95000,3365000,-48989000,563000,94000,105001000,2722000,,-65148000,170149000,62050000,1353000,,,
NATH,3/31/2019,5222000,535000,145449000,10173000,-71592000,,87161000,4889000,,343000,14924000,75446000,808000,-78303000,95000,4077000,-52879000,763000,93000,94306000,1385000,,-70144000,164450000,60945000,1353000,,,
EGBN,3/31/2020,8141568000,8237000,267784000,,1058083000,887816000,1037052000,39342000,13065000,30366000,8487723000,939614000,7923314000,13065000,,54012000,710072000,86036000,320000,9992219000,,,1162778000,8829441000,439321000,104695000,,,
EGBN,12/31/2019,7224391000,1487000,217687000,,1086449000,873063000,300758000,41994000,2959000,29804000,7514516000,241973000,7668165000,2959000,,44344000,705105000,56707000,331000,8988719000,,,1190681000,7798038000,482286000,571000,,,
EGBN,9/30/2019,7402513000,1487000,217589000,,1079679000,736545000,449749000,41067000,4637000,29722000,7542045000,395522000,7671191000,4637000,,38185000,677055000,52199000,336000,9003467000,,,1184594000,7818873000,502566000,104915000,,,
EGBN,6/30/2019,6949892000,1394000,217491000,,1079363000,774143000,235962000,43390000,3767000,30220000,7207112000,196634000,7511289000,3767000,,29159000,647887000,37506000,343000,8670003000,,,1184582000,7485421000,532585000,105219000,,,
PUK,12/31/2019,,,7089000000,2330000000,15309000000,3.85831E+11,28190000000,1065000000,3105000000,4075000000,20762000000,2491000000,20683000000,2922000000,969000000,4.06209E+11,13758000000,21932000000,172000000,4.54214E+11,6786000000,,19477000000,4.34545E+11,2625000000,17476000000,,,192000000
PUK,9/30/2019,,,7089000000,2330000000,15309000000,3.85831E+11,28190000000,1065000000,3105000000,4075000000,20762000000,2491000000,20683000000,2922000000,969000000,4.06209E+11,13758000000,21932000000,172000000,4.54214E+11,6786000000,,19477000000,4.34545E+11,2625000000,17476000000,,,192000000
PUK,6/30/2019,,,8240000000,2382000000,16887000000,2.85738E+11,2.39705E+11,785000000,2773000000,2762000000,2.30364E+11,5208000000,15286000000,2594000000,510000000,2.95942E+11,14974000000,2.31029E+11,130000000,5.54683E+11,2.16225E+11,,19672000000,5.34988E+11,1974000000,12659000000,,,23000000
PUK,3/31/2019,,,8240000000,2382000000,16887000000,2.85738E+11,2.39705E+11,785000000,2773000000,2762000000,2.30364E+11,5208000000,15286000000,2594000000,510000000,2.95942E+11,14974000000,2.31029E+11,130000000,5.54683E+11,2.16225E+11,,19672000000,5.34988E+11,1974000000,12659000000,,,23000000
TSLX,3/31/2020,,,980158000,9756000,1036736000,2028840000,36145000,,,,45317000,5450000,16732000,-4291000,,19506000,27279000,14315000,669000,2081717000,27355000,,1036736000,1044981000,1013079000,,,,
TSLX,12/31/2019,,,1094467000,13055000,1119297000,2221942000,35003000,,,,43270000,4828000,23986000,-1359000,,23897000,110720000,9315000,666000,2280931000,25927000,,1119297000,1161634000,1009270000,,,,
TSLX,9/30/2019,,,787617000,12516000,1108258000,2038798000,25770000,,,,159105000,3145000,8722000,-1359000,,18310000,100794000,4965000,664000,2073290000,25846000,,1108258000,965032000,1008159000,,,,
TSLX,6/30/2019,,,815528000,11012000,1101643000,2049991000,29199000,,,,156516000,4997000,10542000,-1359000,,16045000,98950000,4965000,661000,2089732000,25752000,,1101643000,988089000,1003391000,,,,
LOGC,3/31/2020,2181000,,,,33707000,,46337000,1790000,,,5180000,43153000,,,,,-76825000,146000,3000,48749000,1290000,,33707000,15042000,110529000,,,,
LOGC,12/31/2019,624000,,,,42287000,,52838000,2200000,,,3563000,33107000,,,,,-67370000,146000,3000,55660000,276000,,42287000,13373000,109640000,,,,
LOGC,9/30/2019,1954000,,,,53198000,,64929000,2158000,,,4130000,38680000,,,,,-55905000,146000,3000,67087000,265000,,53198000,13889000,109081000,,,,
LOGC,6/30/2019,1657000,,,,63411000,,65792000,2238000,,,4619000,25456000,,,,,-44987000,146000,3000,68030000,232000,,63411000,4619000,108362000,,,,
NUE,4/4/2020,1072638000,3875590000,4243181000,2273157000,7267204000,533900000,7847251000,6416959000,-367627000,,2218572000,1245157000,166951000,-3115917000,2182994000,808239000,11012690000,307347000,152061000,17866061000,249300000,,10168204000,7269992000,2119370000,718006000,146000000,,427865000
NUE,12/31/2019,1085298000,3842095000,4215341000,2400902000,7414617000,793200000,8226370000,6269678000,-302966000,,2463774000,1534605000,112169000,-3016897000,2201063000,723538000,11115056000,148728000,152061000,18344666000,243999000,,10357866000,7553490000,2107646000,742186000,300040000,,433310000
NUE,9/28/2019,1310670000,4072464000,4214824000,2312366000,7498281000,826100000,8684288000,5978752000,-313766000,,2585993000,1686365000,66359000,-2942134000,2186499000,695788000,11130172000,363477000,152061000,18506265000,127500000,,10449047000,7645232000,2108948000,764267000,249616000,,411986000
NUE,6/29/2019,1219792000,4268799000,4234308000,2399239000,7326486000,821200000,8467199000,5797513000,-297760000,,2380414000,1431792000,66337000,-2928103000,2187825000,668787000,10977950000,317369000,152061000,18126480000,127400000,,10300717000,7428472000,2098809000,786406000,50000000,,397291000
KSU,3/31/2020,405000000,143600000,3227000000,269800000,4432500000,45900000,621900000,9005400000,-25500000,,470700000,91000000,92500000,-25500000,,1254600000,3532000000,117500000,1000000,9765700000,48600000,,4432500000,5003700000,925000000,,,17100000,323900000
KSU,12/31/2019,157100000,150600000,3221200000,341500000,4265900000,47600000,728600000,8826900000,-29100000,,491300000,148800000,32700000,-29100000,,1235900000,3601300000,66700000,1000000,9786800000,130200000,,4416900000,5040900000,843700000,,,16100000,323400000
KSU,9/30/2019,415900000,161800000,2387600000,273400000,4868900000,53500000,613900000,8984000000,-30600000,,786200000,61600000,47000000,-30600000,,1227100000,3951200000,117100000,1000000,9698400000,36700000,,4868900000,4501200000,947300000,,,286900000,322700000
KSU,6/30/2019,416700000,154500000,2393700000,296300000,4823600000,48000000,609700000,8937800000,-23300000,,767300000,47600000,42600000,-23300000,,1214100000,3898800000,111300000,1000000,9638100000,19000000,,4823600000,4486600000,947100000,,,282100000,322300000
BWFG,3/31/2020,1681132000,,59013000,,167429000,107390000,221573000,27835000,-19334000,10009000,1824398000,209996000,1694042000,-19334000,2589000,,69595000,5867000,119953000,2053625000,,,170214000,1883411000,,196000,,,
BWFG,12/31/2019,1491903000,,38164000,,179594000,108340000,99726000,28522000,-7516000,5788000,1651284000,63951000,1641813000,-7516000,2589000,,69324000,33509000,120589000,1882182000,,,182397000,1699785000,,1192000,,,
BWFG,9/30/2019,1470284000,,193561000,,173191000,112977000,92011000,28892000,-11201000,6591000,1478768000,66309000,1621841000,-11201000,2589000,,66870000,22716000,120343000,1858542000,,,176012000,1682530000,,232000,,,
BWFG,6/30/2019,1477731000,,186784000,,174100000,123900000,88253000,29060000,-6925000,5596000,1486006000,62984000,1615612000,-6925000,2589000,,63801000,22065000,120064000,1859665000,,,176940000,1682725000,,251000,,,
ITIC,3/31/2020,46923000,,,12330000,172808000,163633000,64564000,14259000,3112000,,63215000,25324000,823000,3112000,4350000,3990000,180535000,1243000,,254118000,,,183647000,70471000,,6489000,15641000,,
ITIC,12/31/2019,22165000,,,12523000,180397000,179728000,58158000,14245000,3100000,,36753000,25949000,797000,3100000,4349000,32324000,188262000,1033000,,263893000,,,191362000,72531000,,6616000,13134000,,
ITIC,9/30/2019,47235000,,,12630000,184799000,153511000,86173000,14533000,3195000,,60522000,43992000,806000,3195000,4349000,6125000,192695000,1161000,,266114000,,,195890000,70224000,,6742000,21714000,,
ITIC,6/30/2019,46017000,,,12444000,177077000,153790000,76024000,14657000,2854000,,59171000,36677000,805000,2854000,4350000,5419000,185441000,922000,,256494000,,,188295000,68199000,,6868000,18979000,,
CSII,3/31/2020,13235000,24069000,,30864000,122920000,6343000,164436000,28237000,-59000,,50056000,69572000,806000,-59000,,5921000,-347852000,,34000,220078000,11586000,,143176000,76902000,491053000,20256000,37688000,,
CSII,12/31/2019,16560000,21472000,,35833000,122734000,5593000,169687000,27978000,93000,,53290000,65467000,363000,93000,,6519000,-344602000,,34000,224192000,11399000,,143305000,80887000,487780000,20571000,43954000,,
CSII,9/30/2019,13106000,19489000,,34624000,121083000,5593000,161938000,28136000,102000,,46897000,58939000,407000,102000,,6850000,-340822000,,34000,217065000,11363000,,142074000,74991000,482760000,20991000,46028000,,
CSII,6/30/2019,11194000,18058000,,36015000,142839000,5593000,180075000,27324000,78000,,42345000,74237000,480000,78000,,7316000,-329536000,,34000,218577000,2231000,,147944000,70633000,477368000,5105000,48435000,,
BCOR,3/31/2020,30085000,,381521000,49203000,-347371000,,231958000,61031000,,,170626000,168198000,4397000,-28399000,391084000,61101000,-1230285000,1756000,5000,970932000,30630000,,326175000,644757000,1584854000,282462000,,56229000,
BCOR,12/31/2019,10969000,,381485000,40344000,-321871000,,139143000,16057000,,,93532000,80820000,16986000,-28671000,662375000,13124000,-914791000,6192000,5000,1137572000,28754000,,643515000,494057000,1586972000,303011000,,11228000,
BCOR,9/30/2019,12139000,,381598000,44951000,-329692000,,152759000,27429000,,,83117000,97466000,9902000,-12990000,663005000,49012000,-932505000,1284000,5000,1154628000,7456000,,634846000,519782000,1580336000,301533000,,1227000,
BCOR,6/30/2019,7945000,,381579000,48317000,-324494000,,168664000,26428000,,,82429000,109606000,10820000,-208000,674130000,59487000,-870119000,146000,5000,1235638000,4158000,,705232000,530406000,1575554000,355596000,,919000,
NBHC,3/31/2020,4741856000,7051000,,,639992000,686046000,307051000,112393000,12367000,,5181733000,133926000,4797324000,-415523000,115027000,83143000,168984000,137439000,515000,6028330000,,,763454000,5264876000,1009478000,10489000,,,
NBHC,12/31/2019,4737132000,7300000,,,643162000,692733000,256624000,112151000,2062000,,5030007000,110190000,4707616000,-406900000,115027000,74336000,164082000,127444000,515000,5895512000,,,766920000,5128592000,1009223000,11361000,,,
NBHC,9/30/2019,4733860000,7904000,,,629272000,707288000,352789000,141392000,3087000,,4832531000,116919000,4661976000,-405683000,115027000,69398000,150866000,214602000,515000,5990050000,,,753326000,5236724000,1007628000,11578000,,,
NBHC,6/30/2019,4687997000,7054000,,,609567000,770193000,225943000,139171000,1506000,,4771492000,91159000,4595401000,-407816000,115027000,52119000,135210000,115866000,515000,5858002000,,,733917000,5124085000,1006008000,12267000,,,
PLT,3/28/2020,102159000,164527000,1621694000,246835000,-1345947000,,685028000,210084000,-13582000,82496000,475825000,213879000,98931000,-877148000,796216000,207327000,-707904000,47946000,896000,2257174000,210523000,,-82816000,2339990000,1501340000,466915000,11841000,,
PLT,12/31/2019,122314000,215038000,1620354000,246318000,-1380078000,,688027000,219591000,-5425000,34647000,485708000,156821000,55094000,-868768000,1279897000,200534000,-23926000,54533000,891000,2930867000,197603000,,588077000,2342790000,1479880000,688258000,15317000,,
PLT,9/30/2019,169701000,228363000,1619015000,337077000,-1355145000,,821420000,235073000,-5351000,20728000,597348000,186442000,41269000,-868306000,1279897000,197589000,60545000,55160000,890000,3112014000,199997000,,659107000,2452907000,1465978000,734355000,14378000,,
PLT,6/30/2019,166618000,217424000,1642163000,318235000,-1390747000,,789162000,247823000,-6628000,3182000,574924000,191904000,24801000,-868923000,1279897000,193837000,92437000,47430000,887000,3122031000,200765000,,669498000,2452533000,1445097000,780348000,14169000,,
BLD,3/31/2020,305614000,152721000,699750000,431649000,-382243000,,782327000,271655000,,4359000,471083000,187039000,15798000,-351645000,1379831000,227165000,680408000,,389000,2631840000,15533000,,1179817000,1452023000,850665000,182229000,,23091000,
BLD,12/31/2019,307970000,149078000,697955000,428844000,-396151000,,779827000,265214000,,4259000,476754000,184807000,9882000,-330018000,1367918000,222355000,632862000,,388000,2603963000,16139000,,1152889000,1451074000,849657000,181122000,,34272000,
BLD,9/30/2019,300125000,146702000,701955000,454640000,-388555000,,789390000,264452000,,11758000,482533000,171591000,16518000,-278784000,1367918000,219065000,586877000,,388000,2624122000,16685000,,1165207000,1458915000,856726000,185844000,,33262000,
BLD,6/30/2019,288985000,150282000,705626000,444823000,-411133000,,748288000,263454000,,12033000,458055000,141767000,16602000,-246107000,1363738000,218484000,531901000,,388000,2581123000,17261000,,1141646000,1439477000,855464000,189041000,,32261000,
EDU,2/29/2020,38392000,32776000,117523000,41918000,2655338000,473240000,3879767000,1979409000,,89456000,2556628000,1057138000,210020000,,81647000,17596000,,43000,2754775000,6641873000,1501249000,,2754775000,3736050000,,17790000,2510172000,,151048000
EDU,11/30/2019,32201000,28859000,117169000,45040000,2498218000,467356000,3915203000,1863991000,,72219000,2668160000,1047581000,151336000,,78496000,18050000,,43000,2594469000,6494137000,1690440000,,2594469000,3738419000,,17755000,2569885000,,161249000
EDU,8/31/2019,35917000,29629000,95213000,50281000,2409470000,432168000,3638314000,1768513000,,63275000,2420655000,973197000,133160000,,77457000,18944000,,43000,2505550000,6068235000,1465326000,,2505550000,3404376000,,18623000,2362253000,,158309000
EDU,5/31/2019,34057000,29046000,96457000,99967000,2260732000,404704000,3466242000,532015000,,61467000,2006224000,1414171000,143644000,,79614000,18781000,,87884000,1588000,4646559000,1593295000,,2360686000,2121462000,,20340000,1777361000,,164411000
BANF,3/31/2020,7573200000,6001000,26804000,,851607000,591987000,1764385000,221127000,9879000,,7615125000,1548860000,5919824000,9879000,149923000,,826855000,159524000,32647000,8669096000,,,1023380000,7645716000,153999000,21850000,,,
BANF,12/31/2019,7483635000,6072000,26804000,,833777000,533826000,1961975000,211975000,3454000,,7530045000,1805439000,5686770000,3454000,148604000,,815488000,150464000,32694000,8565758000,,,1004989000,7560769000,153353000,22608000,,,
BANF,9/30/2019,7330677000,7055000,26804000,,808771000,555575000,1901451000,209872000,3629000,,7376187000,1702166000,5550880000,3629000,147013000,,792009000,192230000,32644000,8388816000,,,979752000,7409064000,151470000,24025000,,,
BANF,6/30/2019,6613613000,7004000,26804000,,861770000,425154000,1897081000,185806000,3655000,,6653644000,1704438000,5039295000,3655000,79749000,,769090000,185639000,32640000,7642021000,,,956380000,6685641000,150995000,14936000,,,
OMI,3/31/2020,891542000,1108844000,1503919000,680607000,-243175000,,2519811000,435073000,-92112000,,1549674000,92315000,100473000,-92112000,388000000,122001000,126323000,638045000,125770000,3714870000,562223000,,416338000,3298532000,256357000,271513000,,51187000,
OMI,12/31/2019,808035000,1146192000,1514159000,674706000,-259645000,,2407283000,457646000,-52707000,,1416159000,67030000,56356000,-52707000,393181000,121840000,137774000,519355000,125686000,3643084000,467806000,,462154000,3180930000,251401000,328618000,,50223000,
OMI,9/30/2019,873743000,1153079000,1560295000,741670000,-206661000,,2251260000,618678000,-60276000,,1295789000,96803000,120542000,-60276000,398065000,127009000,176914000,259708000,125724000,3688419000,265832000,,491278000,3197141000,248916000,299874000,,50198000,
OMI,6/30/2019,1039074000,1237713000,1628758000,843343000,-221777000,,2474629000,596132000,-49648000,,1470398000,91339000,106632000,-49648000,407651000,123525000,175865000,302234000,125928000,3896071000,280878000,,496901000,3399170000,244756000,311027000,,51591000,
MDLA,4/30/2020,1791000,,,67645000,300189000,,526591000,36274000,-2957000,,304171000,344697000,55719000,-2957000,98241000,10033000,-513502000,24440000,139000,741916000,236815000,49467000,423521000,318395000,939841000,25091000,62832000,,
MDLA,1/31/2020,3608000,,,150661000,297166000,,539307000,34879000,-206000,,324151000,226866000,56833000,-206000,79324000,5300000,-480973000,23138000,132000,731649000,279067000,51540000,397796000,333853000,878843000,21306000,116833000,,
MDLA,10/31/2019,4220000,,,71036000,283205000,,431295000,31363000,-759000,,217084000,296651000,47312000,-759000,78728000,9681000,-449103000,19750000,127000,611109000,164452000,42710000,384344000,226765000,834079000,22411000,22646000,,
MDLA,7/31/2019,2818000,,,55797000,357823000,,514155000,25042000,-2127000,,214715000,364419000,43319000,-2127000,30269000,9978000,-409483000,19074000,127000,622224000,173228000,40451000,397531000,224693000,809014000,9439000,53018000,,
CAI,3/31/2020,8928000,,1888634000,161907000,566768000,,280288000,,-6767000,,262701000,108743000,2548937000,-6767000,15794000,31872000,489757000,,2000,2878478000,11074000,,586282000,2188331000,103290000,3720000,,216519000,
CAI,12/31/2019,7291000,,1880122000,159680000,569458000,,499128000,,-6630000,,287406000,46464000,2345827000,-6630000,15794000,36234000,493294000,,2000,2901765000,31542000,,589375000,2208525000,102709000,4123000,,218094000,
CAI,9/30/2019,10668000,,1819649000,160119000,561808000,,499579000,,-6845000,,406706000,48275000,2392375000,-6845000,15794000,33269000,487653000,,2000,2950734000,60557000,,582127000,2264742000,101317000,4525000,,309500000,
CAI,6/30/2019,8225000,,1825858000,172244000,567599000,,557108000,,-6589000,,425056000,57288000,2372712000,-6589000,15794000,40006000,494607000,,2000,2984890000,82258000,,588321000,2292704000,100301000,4928000,,313064000,
SMLP,3/31/2020,22294000,,1491716000,83648000,233100000,363578000,159664000,1869882000,,,78504000,67694000,7735000,,,230492000,,8322000,457176000,2624935000,20949000,5500000,457176000,1804677000,,224076000,,,
SMLP,12/31/2019,24415000,,1470299000,102118000,237622000,309728000,139476000,1882251000,,,84147000,4948000,9718000,,,224850000,,32410000,469900000,2573451000,22959000,6200000,469900000,1782485000,,232278000,,,
SMLP,9/30/2019,27651000,,1392986000,88889000,529685000,648748000,99464000,1899281000,,,383242000,5050000,10190000,,,47349000,,5525000,773458000,2901456000,317565000,6900000,773458000,1827257000,,243773000,,,
SMLP,6/30/2019,25252000,,1365564000,84125000,546038000,653807000,86671000,1878851000,,,372424000,535000,10912000,,,48409000,,2011000,813499000,2897702000,312383000,7200000,813499000,1790587000,,251250000,,,
MIDD,3/28/2020,191724000,623822000,2234962000,448751000,-1375220000,,1507662000,345824000,-410260000,33168000,607232000,381043000,154567000,-936122000,1835787000,541079000,2435241000,,145000,5277979000,181800000,,1894706000,3383273000,395442000,1434139000,,21933000,
MIDD,12/28/2019,173693000,585699000,1895366000,470287000,-1346314000,,1209196000,448800000,-350933000,36932000,593137000,94500000,49189000,-802195000,1849747000,491808000,2361462000,,145000,5002143000,156049000,,1946814000,3055329000,387402000,1443381000,,2894000,
MIDD,9/28/2019,181171000,614102000,1986965000,436964000,-1393749000,,1200447000,441661000,-327843000,26541000,585244000,87181000,35256000,-779105000,1809359000,424302000,2252465000,,145000,4928528000,153657000,,1856031000,3072497000,382526000,1440421000,,3331000,
MIDD,6/29/2019,193124000,611859000,2017382000,431733000,-1426276000,,1184923000,422883000,-301738000,28370000,565297000,81687000,51098000,-752942000,1781772000,442205000,2170445000,,145000,4886669000,138676000,,1798251000,3088418000,380603000,1442755000,,3443000,
POOL,3/31/2020,517620000,858190000,569697000,345915000,145186000,1260000,1238378000,288640000,-24299000,,652290000,17808000,16291000,-24299000,193380000,56934000,-122594000,,40000,1747781000,,,348398000,1399383000,495251000,9832000,,8227000,
POOL,12/31/2019,261963000,702274000,499662000,226539000,210546000,1227000,973568000,288935000,-10359000,,390846000,28583000,19902000,-10359000,188596000,60568000,-64740000,,40000,1483266000,,,410180000,1073086000,485239000,11038000,,11017000,
POOL,9/30/2019,214309000,616217000,535720000,307798000,206602000,1237000,973092000,288694000,-13805000,,363633000,36693000,19017000,-13805000,188133000,54688000,-60743000,,40000,1481408000,,,405970000,1075438000,480478000,11235000,,11256000,
POOL,6/30/2019,342335000,694447000,668363000,417126000,143002000,1213000,1183189000,287214000,-11084000,,503627000,60694000,18799000,-11084000,188665000,56043000,-118177000,,40000,1690582000,,,343169000,1347413000,472390000,11502000,,9018000,
AFB,10/31/2019,,,231749699,9699053,437837570,687791834,9699053,,,,27799372,,,,,104246,34117210,,28745,697490887,,,437837570,259653317,403691615,,,,
AFB,7/31/2019,,,231749699,9699053,437837570,687791834,9699053,,,,27799372,,,,,104246,34117210,,28745,697490887,,,437837570,259653317,403691615,,,,
AFB,4/30/2019,,,229712025,9955561,424108609,673771463,9955561,,,,27073003,,,,,81935,15237117,,28745,683727024,,,424108609,256866963,408842747,,,,
